REGIAO_ORIGEM,UF,DATE,TMIN,TMAX,PREC
Acre,AC,1961-07-02,20.03502826115594,30.30392460607404,2074.1683851079124
Alta Mogiana,SP,1961-07-02,15.983288567641686,28.209622909282817,1430.161530593346
Atlântico Baiano,BA,1961-07-02,19.77175136026182,27.908789778408938,1038.4654251168308
Campo das Vertentes,MG,1961-07-02,14.443810126360725,27.015869533314426,1475.3304802389705
Caparaó,ES,1961-07-02,14.356461362140935,26.055263844931996,1313.9468398675685
Ceará,CE,1961-07-02,19.907624697444415,30.48089010065252,1566.7465283942945
Cerrado Mineiro,MG,1961-07-02,16.180256918597173,28.96118084293468,1387.8287839395907
Chapada Diamantina,BA,1961-07-02,15.952447483530719,27.41094794858344,464.12080366283544
Chapada de Minas,MG,1961-07-02,16.29937142205832,28.95212422842657,720.3496338107832
Conilon Capixaba,ES,1961-07-02,20.096503981837518,28.353664062641286,948.1195124873409
Goiás,GO,1961-07-02,16.87211225733137,29.874193467068253,1363.9777102156588
Mantiqueira de Minas,MG,1961-07-02,13.197005968827467,25.88525258577787,1498.0008943997896
Marília e Garça,SP,1961-07-02,16.882281451755098,30.065534591674805,1118.6261406792535
Matas de Minas,MG,1961-07-02,15.371686048441,27.23228302535477,1086.0225317894995
Matas de Rondônia,RO,1961-07-02,19.701463312342547,32.155431797193444,1991.4891711248868
Mato Grosso,MT,1961-07-02,19.825479893485955,32.03022959012853,2055.1833205926614
Montanhas de Minas,MG,1961-07-02,16.025689766819315,27.80372086861976,1298.9127619463698
Montanhas do Espírito Santo,ES,1961-07-02,15.65710381825765,26.15159243265788,1201.3548600260417
Média Mogiana,SP,1961-07-02,14.67375950191332,27.28880104811295,1311.6784495478091
Noroeste/Norte do Rio de Janeiro,RJ,1961-07-02,18.590208620964727,29.375056810016872,1212.4303805194324
Norte Pioneiro do Paraná,PR,1961-07-02,15.643985538617939,28.5140952658146,1249.79422148576
Norte e Noroeste de Minas,MG,1961-07-02,17.080353370419257,30.562011497992057,1393.5489928634079
Oeste da Bahia,BA,1961-07-02,16.43052634708384,31.333579440805362,636.2232556266581
Ourinhos e Avaré,SP,1961-07-02,15.934187694262432,28.07693696791126,1131.488738685526
Paraná,PR,1961-07-02,15.824214017704913,28.318906043705187,1482.7654528366893
Pernambuco,PE,1961-07-02,17.470792667682353,28.199529031606822,945.737221116286
Pinhal,SP,1961-07-02,15.065214193784273,27.53948086958665,1336.7860107421875
Planalto Central,DF,1961-07-02,15.69196746967457,28.17867914835612,1159.0325046115452
Planalto de Vitória da Conquista,BA,1961-07-02,16.638414123602082,28.26654245142351,337.27661574514286
