UF;ANO;AREA_PLANTADA_PERC
Rondônia;1988.0;17.6
Rondônia;1989.0;20.06
Rondônia;1990.0;25.26
Rondônia;1991.0;22.79
Rondônia;1992.0;18.38
Rondônia;1993.0;17.93
Rondônia;1994.0;16.51
Rondônia;1995.0;18.33
Rondônia;1996.0;25.37
Rondônia;1997.0;23.94
Rondônia;1998.0;22.26
Rondônia;1999.0;31.45
Rondônia;2000.0;33.57
Rondônia;2001.0;41.01
Rondônia;2002.0;38.18
Rondônia;2003.0;35.19
Rondônia;2004.0;30.24
Rondônia;2005.0;27.52
Rondônia;2006.0;27.04
Rondônia;2007.0;27.03
Rondônia;2008.0;26.1
Rondônia;2009.0;24.25
Rondônia;2010.0;24.02
Rondônia;2011.0;20.79
Rondônia;2012.0;19.43
Rondônia;2013.0;16.83
Rondônia;2014.0;14.92
Rondônia;2015.0;13.03
Rondônia;2016.0;13.96
Rondônia;2017.0;10.45
Rondônia;2018.0;9.86
Rondônia;2019.0;8.34
Rondônia;2020.0;8.87
Rondônia;2021.0;7.43
Acre;1988.0;0.85
Acre;1989.0;0.82
Acre;1990.0;0.93
Acre;1991.0;0.71
Acre;1992.0;0.75
Acre;1993.0;0.71
Acre;1994.0;0.67
Acre;1995.0;0.71
Acre;1996.0;0.43
Acre;1997.0;0.4
Acre;1998.0;0.38
Acre;1999.0;0.53
Acre;2000.0;0.88
Acre;2001.0;2.49
Acre;2002.0;3.63
Acre;2003.0;4.02
Acre;2004.0;3.47
Acre;2005.0;2.85
Acre;2006.0;2.12
Acre;2007.0;1.87
Acre;2008.0;1.28
Acre;2009.0;0.89
Acre;2010.0;0.99
Acre;2011.0;0.9
Acre;2012.0;0.87
Acre;2013.0;0.96
Acre;2014.0;1.11
Acre;2015.0;1.21
Acre;2016.0;1.37
Acre;2017.0;1.64
Acre;2018.0;1.4
Acre;2019.0;1.47
Acre;2020.0;1.28
Acre;2021.0;1.27
Amazonas;1988.0;0.15
Amazonas;1989.0;0.16
Amazonas;1990.0;0.35
Amazonas;1991.0;1.67
Amazonas;1992.0;1.58
Amazonas;1993.0;1.34
Amazonas;1994.0;1.12
Amazonas;1995.0;1.1
Amazonas;1996.0;0.23
Amazonas;1997.0;0.23
Amazonas;1998.0;0.21
Amazonas;1999.0;0.19
Amazonas;2000.0;0.2
Amazonas;2001.0;0.21
Amazonas;2002.0;0.2
Amazonas;2003.0;1.94
Amazonas;2004.0;2.27
Amazonas;2005.0;2.61
Amazonas;2006.0;2.64
Amazonas;2007.0;0.9
Amazonas;2008.0;3.05
Amazonas;2009.0;3.09
Amazonas;2010.0;1.38
Amazonas;2011.0;1.03
Amazonas;2012.0;0.96
Amazonas;2013.0;0.93
Amazonas;2014.0;0.27
Amazonas;2015.0;1.14
Amazonas;2016.0;0.33
Amazonas;2017.0;0.29
Amazonas;2018.0;0.21
Amazonas;2019.0;0.18
Amazonas;2020.0;0.21
Amazonas;2021.0;0.24
Roraima;1988.0;-
Roraima;1989.0;-
Roraima;1990.0;-
Roraima;1991.0;-
Roraima;1992.0;-
Roraima;1993.0;...
Roraima;1994.0;-
Roraima;1995.0;-
Roraima;1996.0;-
Roraima;1997.0;-
Roraima;1998.0;-
Roraima;1999.0;-
Roraima;2000.0;-
Roraima;2001.0;-
Roraima;2002.0;-
Roraima;2003.0;-
Roraima;2004.0;-
Roraima;2005.0;-
Roraima;2006.0;-
Roraima;2007.0;-
Roraima;2008.0;-
Roraima;2009.0;-
Roraima;2010.0;-
Roraima;2011.0;-
Roraima;2012.0;-
Roraima;2013.0;-
Roraima;2014.0;-
Roraima;2015.0;-
Roraima;2016.0;-
Roraima;2017.0;-
Roraima;2018.0;-
Roraima;2019.0;-
Roraima;2020.0;-
Roraima;2021.0;-
Pará;1988.0;0.63
Pará;1989.0;1.49
Pará;1990.0;2.51
Pará;1991.0;2.13
Pará;1992.0;1.92
Pará;1993.0;1.81
Pará;1994.0;1.5
Pará;1995.0;1.27
Pará;1996.0;1.12
Pará;1997.0;1.18
Pará;1998.0;1.19
Pará;1999.0;1.08
Pará;2000.0;1.31
Pará;2001.0;1.9
Pará;2002.0;2.05
Pará;2003.0;1.85
Pará;2004.0;1.84
Pará;2005.0;1.71
Pará;2006.0;1.8
Pará;2007.0;1.37
Pará;2008.0;1.33
Pará;2009.0;1.12
Pará;2010.0;1.07
Pará;2011.0;1
Pará;2012.0;0.95
Pará;2013.0;0.55
Pará;2014.0;0.35
Pará;2015.0;0.08
Pará;2016.0;0.03
Pará;2017.0;0.03
Pará;2018.0;0.02
Pará;2019.0;0.01
Pará;2020.0;0.01
Pará;2021.0;0.01
Amapá;1988.0;-
Amapá;1989.0;-
Amapá;1990.0;-
Amapá;1991.0;-
Amapá;1992.0;-
Amapá;1993.0;-
Amapá;1994.0;-
Amapá;1995.0;-
Amapá;1996.0;-
Amapá;1997.0;-
Amapá;1998.0;-
Amapá;1999.0;-
Amapá;2000.0;-
Amapá;2001.0;-
Amapá;2002.0;-
Amapá;2003.0;-
Amapá;2004.0;-
Amapá;2005.0;-
Amapá;2006.0;-
Amapá;2007.0;-
Amapá;2008.0;-
Amapá;2009.0;-
Amapá;2010.0;-
Amapá;2011.0;-
Amapá;2012.0;-
Amapá;2013.0;-
Amapá;2014.0;-
Amapá;2015.0;-
Amapá;2016.0;-
Amapá;2017.0;-
Amapá;2018.0;-
Amapá;2019.0;-
Amapá;2020.0;-
Amapá;2021.0;-
Tocantins;1988.0;...
Tocantins;1989.0;0.01
Tocantins;1990.0;0.02
Tocantins;1991.0;0.02
Tocantins;1992.0;0.02
Tocantins;1993.0;0.02
Tocantins;1994.0;0.02
Tocantins;1995.0;0
Tocantins;1996.0;0
Tocantins;1997.0;0
Tocantins;1998.0;0
Tocantins;1999.0;0
Tocantins;2000.0;0
Tocantins;2001.0;0
Tocantins;2002.0;0.01
Tocantins;2003.0;0.01
Tocantins;2004.0;0.01
Tocantins;2005.0;-
Tocantins;2006.0;-
Tocantins;2007.0;-
Tocantins;2008.0;-
Tocantins;2009.0;-
Tocantins;2010.0;-
Tocantins;2011.0;-
Tocantins;2012.0;-
Tocantins;2013.0;-
Tocantins;2014.0;-
Tocantins;2015.0;-
Tocantins;2016.0;-
Tocantins;2017.0;-
Tocantins;2018.0;-
Tocantins;2019.0;-
Tocantins;2020.0;-
Tocantins;2021.0;-
Maranhão;1988.0;0.01
Maranhão;1989.0;0.01
Maranhão;1990.0;0.01
Maranhão;1991.0;0.01
Maranhão;1992.0;0
Maranhão;1993.0;0
Maranhão;1994.0;0
Maranhão;1995.0;0
Maranhão;1996.0;0
Maranhão;1997.0;-
