CODIGO_UF,UF,CODIGO_MUNICIPIO,MUNICIPIO,AREA_1990,AREA_2020
11,Rondônia,1100015,Alta Floresta D'Oeste,11.85,54.99
11,Rondônia,1100023,Ariquemes,41.65,2.25
11,Rondônia,1100031,Cabixi,2.99,0.06
11,Rondônia,1100049,Cacoal,45.58,63.44
11,Rondônia,1100056,Cerejeiras,5.82,0.06
11,Rondônia,1100064,Colorado do Oeste,4.01,0.67
11,Rondônia,1100072,Corumbiara,NA,0.04
11,Rondônia,1100080,Costa Marques,12.68,2.79
11,Rondônia,1100098,Espigão D'Oeste,10.98,24.75
11,Rondônia,1100106,GuajaráMirim,1.52,4.8
11,Rondônia,1100114,Jaru,18.69,6.99
11,Rondônia,1100122,JiParaná,27.78,25.88
11,Rondônia,1100130,Machadinho D'Oeste,18.06,6.2
11,Rondônia,1100148,Nova Brasilândia D'Oeste,54.84,79.76999999999998
11,Rondônia,1100155,Ouro Preto do Oeste,14.01,12.03
11,Rondônia,1100189,Pimenta Bueno,19.4,3.54
11,Rondônia,1100205,Porto Velho,2.45,4.18
11,Rondônia,1100254,Presidente Médici,16.84,24.15
11,Rondônia,1100262,Rio Crespo,NA,0.31
11,Rondônia,1100288,Rolim de Moura,43.27,21.37
11,Rondônia,1100296,Santa Luzia D'Oeste,23.5,8.61
11,Rondônia,1100304,Vilhena,0.89,0.01
11,Rondônia,1100320,São Miguel do Guaporé,7.54,32.16
11,Rondônia,1100338,Nova Mamoré,3.37,9.57
11,Rondônia,1100346,Alvorada D'Oeste,21.39,50.43
11,Rondônia,1100379,Alto Alegre dos Parecis,NA,15.57
11,Rondônia,1100403,Alto Paraíso,NA,4.82
11,Rondônia,1100452,Buritis,NA,61.3
11,Rondônia,1100502,Novo Horizonte do Oeste,NA,44.55
11,Rondônia,1100601,Cacaulândia,NA,8.83
11,Rondônia,1100700,Campo Novo de Rondônia,NA,32.54
11,Rondônia,1100809,Candeias do Jamari,NA,1.71
11,Rondônia,1100908,Castanheiras,NA,1.46
