CODIGO_UF,UF,CODIGO_MUNICIPIO,MUNICIPIO,AREA_1990,AREA_2020
11,Rondônia,1100015,Alta Floresta D'Oeste,NA,0.04
11,Rondônia,1100023,Ariquemes,0.27,0.17
11,Rondônia,1100031,Cabixi,NA,0.15
11,Rondônia,1100049,Cacoal,NA,0.14
11,Rondônia,1100056,Cerejeiras,NA,0.14
11,Rondônia,1100064,Colorado do Oeste,0.06,0.18
11,Rondônia,1100072,Corumbiara,NA,0.03
11,Rondônia,1100080,Costa Marques,NA,NA
11,Rondônia,1100098,Espigão D'Oeste,NA,NA
11,Rondônia,1100106,Guajará-Mirim,NA,0.72
11,Rondônia,1100114,Jaru,0.05,0.19
11,Rondônia,1100122,Ji-Paraná,NA,6.65
11,Rondônia,1100130,Machadinho D'Oeste,NA,0.12
11,Rondônia,1100148,Nova Brasilândia D'Oeste,NA,0.03
11,Rondônia,1100155,Ouro Preto do Oeste,NA,0.17
11,Rondônia,1100189,Pimenta Bueno,NA,NA
11,Rondônia,1100205,Porto Velho,2.24,0.13
11,Rondônia,1100254,Presidente Médici,NA,2.61
11,Rondônia,1100262,Rio Crespo,NA,NA
11,Rondônia,1100288,Rolim de Moura,NA,0.36
11,Rondônia,1100296,Santa Luzia D'Oeste,NA,4.03
11,Rondônia,1100304,Vilhena,NA,0
11,Rondônia,1100320,São Miguel do Guaporé,NA,NA
11,Rondônia,1100338,Nova Mamoré,NA,NA
11,Rondônia,1100346,Alvorada D'Oeste,NA,NA
11,Rondônia,1100379,Alto Alegre dos Parecis,NA,0.05
11,Rondônia,1100403,Alto Paraíso,NA,NA
11,Rondônia,1100452,Buritis,NA,NA
11,Rondônia,1100502,Novo Horizonte do Oeste,NA,0.13
11,Rondônia,1100601,Cacaulândia,NA,2.94
11,Rondônia,1100700,Campo Novo de Rondônia,NA,0.12
11,Rondônia,1100809,Candeias do Jamari,NA,0.27
11,Rondônia,1100908,Castanheiras,NA,NA
11,Rondônia,1100924,Chupinguaia,NA,0.02
11,Rondônia,1100940,Cujubim,NA,0.01
11,Rondônia,1101005,Governador Jorge Teixeira,NA,0.77
11,Rondônia,1101104,Itapuã do Oeste,NA,0.11
11,Rondônia,1101203,Ministro Andreazza,NA,NA
